source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,sources,references,curation_effort,n_references,n_resources
E9PT20,D3ZGB1,Abl1,Nfat5,1,0,0,0,0,0,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper,PhosphoSite:20080774;PhosphoSite:30190682,2,2,3
Q62844,D3ZWP6,Fyn,Plxna2,1,0,0,0,0,0,PhosphoSite;PhosphoSite_noref,PhosphoSite:29091353,1,1,1
Q9WUD9,F1M3L7,Src,Eps8,1,1,0,1,1,0,Cui2007;HPRD;PhosphoPoint;PhosphoSite;PhosphoSite_noref;SPIKE_LC;Wang,HPRD:10395945;PhosphoSite:23626693;PhosphoSite:32641864;SPIKE_LC:16189514,4,4,5
Q62915,Q63372,Cask,Nrxn1,1,0,0,0,0,0,HPRD;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper,HPRD:11036064;HPRD:8786425;PhosphoSite:18423203,3,3,5
Q62761,Q07014,Csnk1g1,Lyn,1,0,0,0,0,0,PhosphoSite,PhosphoSite:33004926,1,1,1
D3Z822,Q6P799,Atr,Sars1,1,0,0,0,0,0,PhosphoSite,PhosphoSite:33351793,1,1,1
P11275,P31652,Camk2a,Slc6a4,1,0,0,0,0,0,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper,PhosphoSite:24450286,1,1,3
Q4G050,P04256,Mknk1,Hnrnpa1,1,0,0,0,0,0,HPRD_MIMP;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;phosphoELM_MIMP,PhosphoSite:16111636,1,1,3
Q62844,P15146,Fyn,Map2,1,1,0,1,1,0,HPRD;KEA;MIMP;PhosphoNetworks;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;RLIMS-P_ProtMapper;SPIKE_LC;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,HPRD:15536091;KEA:15536091;PhosphoSite:15536091;PhosphoSite:16145685;ProtMapper:15536091;SPIKE_LC:15536091;iPTMnet:15536091;phosphoELM:15536091,8,2,10
P67999,Q80WE1,Rps6kb1,Fmr1,1,0,0,0,0,0,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;Sparser_ProtMapper;iPTMnet,PhosphoSite:12446764;PhosphoSite:16922515;PhosphoSite:17376973;PhosphoSite:22080836;PhosphoSite:24180586;PhosphoSite:24806451;PhosphoSite:31112584;ProtMapper:24806451;ProtMapper:25268320;ProtMapper:27957526;iPTMnet:18474609,11,10,4
D4A5E7,D3ZE20,Ikbke,Nfatc1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper,PhosphoSite:27346349;ProtMapper:27346349,2,1,2
D3ZZH6,Q66HR2,Map3k5,Mapre1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;Sparser_ProtMapper,PhosphoSite:27721984;PhosphoSite:28039481;PhosphoSite:29228685;ProtMapper:27721984;ProtMapper:28039481;ProtMapper:29228685,6,3,2
Q07014,P16638,Lyn,Acly,1,0,0,0,0,0,PhosphoSite;PhosphoSite_noref,PhosphoSite:19702290;PhosphoSite:32420483,2,2,1
F1LRZ0,A0A0G2K9C0,Alk,Vasp,1,0,0,0,0,0,HPRD_MIMP;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;phosphoELM_MIMP,PhosphoSite:18845790,1,1,3
P63086,Q3LRZ1,Mapk1,Crtc2,1,0,0,0,0,0,PhosphoSite,PhosphoSite:33000695,1,1,1
Q63116,P67779,Kit,Phb1,1,0,0,0,0,0,PhosphoSite,PhosphoSite:19238206;PhosphoSite:32169072,2,2,1
Q03114,P27008,Cdk5,Parp1,1,0,0,0,0,0,ACSN;PhosphoSite;PhosphoSite_noref;ProtMapper;RLIMS-P_ProtMapper,ACSN:21922195;ACSN:23589330;PhosphoSite:21922195;PhosphoSite:25069723;ProtMapper:21922195,5,3,3
Q63531,D4A987,Rps6ka1,Arhgap31,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper,PhosphoSite:29545927,1,1,2
P39951,D4ACP5,Cdk1,Recql5,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;Sparser_ProtMapper,PhosphoSite:28575661;ProtMapper:28575661,2,1,2
E9PT20,P37377,Abl1,Snca,1,0,0,0,0,0,IntAct;Lit-BM-17;PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;Sparser_ProtMapper,IntAct:27348587;Lit-BM-17:24412932;PhosphoSite:11162638;PhosphoSite:11821392;PhosphoSite:12893833;PhosphoSite:24412932;PhosphoSite:26807843;PhosphoSite:31802003;ProtMapper:24412932;ProtMapper:27348587;ProtMapper:27356045;ProtMapper:27833551;ProtMapper:29103051,13,10,4
P39951,Q63433,Cdk1,Pkn1,1,1,0,1,1,0,KEA;NetworKIN_KEA;PhosphoSite;PhosphoSite_noref;Wang,KEA:17570479;PhosphoSite:31981797,2,2,3
Q01621,Q62771,Lck,Stat5a,1,1,0,1,1,0,HPRD;HPRD_MIMP;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;Wang;phosphoELM_MIMP,HPRD:10825200;PhosphoSite:11046040;PhosphoSite:11254359;PhosphoSite:11641791;PhosphoSite:12060651;PhosphoSite:12456798;PhosphoSite:12879454;PhosphoSite:12970160;PhosphoSite:14522994;PhosphoSite:18250158;PhosphoSite:19923221;PhosphoSite:20667852;PhosphoSite:21716071;PhosphoSite:22177802;PhosphoSite:22442148;PhosphoSite:25885255;PhosphoSite:29228564;PhosphoSite:31697835;PhosphoSite:34021045;PhosphoSite:9573010;PhosphoSite:9813040,21,21,6
P09217,Q9WU82,Prkcz,Ctnnb1,1,0,0,0,0,0,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper,PhosphoSite:12239584;PhosphoSite:16618120;PhosphoSite:18356165;PhosphoSite:27653698;PhosphoSite:31933784;PhosphoSite:32021251,6,6,2
